#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.4 40000 -2.25 0.7309 1.8517 0.0418 0.0793 0.0212 0.0544 0.0152 0.0000 0.0000 0.0252 0.0125
7.4 40000 -2.00 0.5279 2.2789 0.0303 0.0835 0.0211 0.0544 0.0151 0.0000 0.0000 0.0267 0.0087
7.4 40000 -1.75 0.3831 2.6536 0.0226 0.0851 0.0211 0.0543 0.0151 0.0000 0.0000 0.0279 0.0062
7.4 40000 -1.50 0.2835 2.9932 0.0176 0.0839 0.0209 0.0541 0.0150 0.0000 0.0012 0.0285 0.0046
7.4 45000 -4.00 1.0069 0.0096 0.2756 0.0186 0.0219 0.0561 0.0159 0.0000 0.0000 0.0116 0.0500
7.4 45000 -3.75 1.1940 0.0318 0.2338 0.0270 0.0220 0.0563 0.0159 0.0000 0.0000 0.0136 0.0526
7.4 45000 -3.50 1.3694 0.0998 0.1886 0.0371 0.0220 0.0562 0.0159 0.0000 0.0000 0.0157 0.0519
7.4 45000 -3.25 1.4553 0.2792 0.1441 0.0479 0.0219 0.0559 0.0158 0.0000 0.0000 0.0179 0.0455
7.4 45000 -3.00 1.3664 0.6248 0.1060 0.0583 0.0217 0.0556 0.0156 0.0000 0.0000 0.0201 0.0350
7.4 45000 -2.75 1.1256 1.1089 0.0761 0.0677 0.0216 0.0553 0.0155 0.0000 0.0000 0.0222 0.0247
7.4 45000 -2.50 0.8453 1.6366 0.0544 0.0757 0.0215 0.0550 0.0154 0.0000 0.0000 0.0241 0.0167
7.4 45000 -2.25 0.6080 2.1384 0.0393 0.0815 0.0213 0.0548 0.0153 0.0000 0.0000 0.0256 0.0114
7.4 45000 -2.00 0.4352 2.5943 0.0291 0.0845 0.0213 0.0547 0.0152 0.0000 0.0013 0.0265 0.0080
7.4 45000 -1.75 0.3169 3.0065 0.0223 0.0844 0.0212 0.0546 0.0152 0.0000 0.0023 0.0265 0.0058
7.4 45000 -1.50 0.2366 3.3876 0.0177 0.0811 0.0211 0.0544 0.0152 0.0000 0.0039 0.0254 0.0044
7.4 50000 -4.00 1.0317 0.0176 0.2847 0.0199 0.0230 0.0587 0.0166 0.0000 0.0000 0.0127 0.0512
7.4 50000 -3.75 1.2067 0.0575 0.2391 0.0285 0.0227 0.0581 0.0164 0.0000 0.0000 0.0145 0.0529
7.4 50000 -3.50 1.3357 0.1736 0.1914 0.0386 0.0224 0.0572 0.0162 0.0000 0.0000 0.0165 0.0505
7.4 50000 -3.25 1.3242 0.4383 0.1463 0.0492 0.0221 0.0565 0.0159 0.0000 0.0000 0.0186 0.0424
7.4 50000 -3.00 1.1365 0.8686 0.1079 0.0592 0.0218 0.0558 0.0157 0.0000 0.0000 0.0206 0.0314
7.4 50000 -2.75 0.8649 1.3841 0.0780 0.0680 0.0216 0.0552 0.0155 0.0000 0.0000 0.0225 0.0216
7.4 50000 -2.50 0.6162 1.8985 0.0561 0.0747 0.0214 0.0548 0.0153 0.0000 0.0000 0.0240 0.0145
7.4 50000 -2.25 0.4315 2.3789 0.0408 0.0783 0.0212 0.0544 0.0152 0.0010 0.0013 0.0248 0.0099
7.4 50000 -2.00 0.3064 2.8225 0.0305 0.0784 0.0211 0.0542 0.0151 0.0012 0.0026 0.0246 0.0070
7.4 50000 -1.75 0.2241 3.2330 0.0236 0.0749 0.0209 0.0540 0.0150 0.0016 0.0044 0.0232 0.0052
7.4 50000 -1.50 0.1694 3.6163 0.0189 0.0684 0.0208 0.0538 0.0150 0.0022 0.0067 0.0211 0.0040
7.4 55000 -4.00 1.0579 0.0199 0.2821 0.0219 0.0238 0.0611 0.0173 0.0000 0.0000 0.0137 0.0523
7.4 55000 -3.75 1.2345 0.0644 0.2337 0.0306 0.0233 0.0596 0.0169 0.0000 0.0000 0.0154 0.0532
7.4 55000 -3.50 1.3587 0.1924 0.1852 0.0407 0.0228 0.0583 0.0165 0.0000 0.0000 0.0173 0.0495
7.4 55000 -3.25 1.3294 0.4828 0.1405 0.0512 0.0223 0.0571 0.0161 0.0000 0.0000 0.0193 0.0401
7.4 55000 -3.00 1.1248 0.9385 0.1037 0.0611 0.0219 0.0562 0.0158 0.0000 0.0000 0.0213 0.0291
7.4 55000 -2.75 0.8473 1.4711 0.0753 0.0696 0.0216 0.0556 0.0156 0.0000 0.0000 0.0232 0.0198
