#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 37500.0000 -3.7500 1.0447 0.0047 0.2590 0.0158 0.0165 0.0423 0.0120 0.0000 0.0000 0.0082
7.4000 37500.0000 -4.0000 0.8726 0.0015 0.2802 0.0100 0.0150 0.0384 0.0109 0.0000 0.0000 0.0063
7.4000 40000.0000 -1.5000 0.2835 2.9932 0.0176 0.0839 0.0209 0.0541 0.0150 0.0000 0.0012 0.0285
7.4000 40000.0000 -1.7500 0.3831 2.6536 0.0226 0.0851 0.0211 0.0543 0.0151 0.0000 0.0000 0.0279
7.4000 40000.0000 -2.0000 0.5279 2.2789 0.0303 0.0835 0.0211 0.0544 0.0151 0.0000 0.0000 0.0267
7.4000 40000.0000 -2.2500 0.7309 1.8517 0.0418 0.0793 0.0212 0.0544 0.0152 0.0000 0.0000 0.0252
7.4000 40000.0000 -2.5000 0.9894 1.3721 0.0586 0.0726 0.0213 0.0545 0.0152 0.0000 0.0000 0.0233
7.4000 40000.0000 -2.7500 1.2578 0.8796 0.0828 0.0642 0.0213 0.0546 0.0153 0.0000 0.0000 0.0212
7.4000 40000.0000 -3.0000 1.4392 0.4602 0.1152 0.0543 0.0213 0.0546 0.0153 0.0000 0.0000 0.0189
7.4000 40000.0000 -3.2500 1.4518 0.1914 0.1554 0.0435 0.0213 0.0546 0.0154 0.0000 0.0000 0.0166
7.4000 40000.0000 -3.5000 1.3220 0.0668 0.1991 0.0328 0.0212 0.0543 0.0153 0.0000 0.0000 0.0143
7.4000 40000.0000 -3.7500 1.1380 0.0210 0.2411 0.0231 0.0210 0.0536 0.0151 0.0000 0.0000 0.0121
7.4000 40000.0000 -4.0000 0.9561 0.0063 0.2768 0.0154 0.0204 0.0524 0.0148 0.0000 0.0000 0.0101
7.4000 45000.0000 -1.5000 0.2366 3.3876 0.0177 0.0811 0.0211 0.0544 0.0152 0.0000 0.0039 0.0254
7.4000 45000.0000 -1.7500 0.3169 3.0065 0.0223 0.0844 0.0212 0.0546 0.0152 0.0000 0.0023 0.0265
7.4000 45000.0000 -2.0000 0.4352 2.5943 0.0291 0.0845 0.0213 0.0547 0.0152 0.0000 0.0013 0.0265
7.4000 45000.0000 -2.2500 0.6080 2.1384 0.0393 0.0815 0.0213 0.0548 0.0153 0.0000 0.0000 0.0256
7.4000 45000.0000 -2.5000 0.8453 1.6366 0.0544 0.0757 0.0215 0.0550 0.0154 0.0000 0.0000 0.0241
7.4000 45000.0000 -2.7500 1.1256 1.1089 0.0761 0.0677 0.0216 0.0553 0.0155 0.0000 0.0000 0.0222
7.4000 45000.0000 -3.0000 1.3664 0.6248 0.1060 0.0583 0.0217 0.0556 0.0156 0.0000 0.0000 0.0201
7.4000 45000.0000 -3.2500 1.4553 0.2792 0.1441 0.0479 0.0219 0.0559 0.0158 0.0000 0.0000 0.0179
