#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 90000 -3.01 0.4406 0.5284 0.0794 0.0262 0.0196 0.0500 0.0140 0.0519 0.0000 0.0127 0.0168 0.0080 0.1667
7.1 90000 -2.56 0.3224 0.7784 0.0571 0.0292 0.0186 0.0477 0.0133 0.0556 0.0000 0.0128 0.0118 0.0436 0.2757
7.1 90000 -2.06 0.2474 0.9416 0.0437 0.0294 0.0178 0.0457 0.0128 0.0605 0.0021 0.0122 0.0089 0.1556 0.3876
7.1 90000 -1.52 0.1959 1.0465 0.0349 0.0281 0.0170 0.0435 0.0121 0.0685 0.0031 0.0114 0.0070 0.3464 0.4688
7.1 90000 -1.00 0.1591 1.1076 0.0290 0.0261 0.0160 0.0411 0.0114 0.0796 0.0039 0.0106 0.0057 0.5252 0.5117
7.1 90000 -0.63 0.1378 1.1269 0.0256 0.0245 0.0152 0.0391 0.0109 0.0895 0.0044 0.0099 0.0049 0.6428 0.5270
7.1 90000 -0.04 0.1105 1.1088 0.0212 0.0215 0.0138 0.0353 0.0098 0.1094 0.0051 0.0087 0.0040 0.8119 0.5224
7.1 90000 0.40 0.0943 1.0554 0.0185 0.0192 0.0125 0.0321 0.0089 0.1272 0.0053 0.0078 0.0034 0.9047 0.4948
7.1 100000 -3.96 0.5410 0.0310 0.1791 0.0109 0.0245 0.0627 0.0177 0.0410 0.0000 0.0096 0.0282 0.0000 0.0277
7.1 100000 -3.68 0.5904 0.1047 0.1451 0.0153 0.0221 0.0563 0.0159 0.0542 0.0000 0.0105 0.0273 0.0000 0.0526
7.1 100000 -3.36 0.5391 0.2928 0.1107 0.0208 0.0198 0.0506 0.0142 0.0683 0.0000 0.0117 0.0226 0.0019 0.0988
7.1 100000 -3.01 0.4171 0.5382 0.0817 0.0256 0.0182 0.0466 0.0131 0.0778 0.0000 0.0125 0.0166 0.0113 0.1706
7.1 100000 -2.56 0.3055 0.7533 0.0585 0.0280 0.0171 0.0437 0.0122 0.0838 0.0012 0.0123 0.0117 0.0611 0.2765
7.1 100000 -2.06 0.2359 0.8673 0.0446 0.0275 0.0161 0.0413 0.0115 0.0905 0.0024 0.0114 0.0089 0.2002 0.3718
