#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.017 -1.67 0.0000 0.3472 0.0000 0.0153 0.0000 0.0012 0.0000 0.3941 0.0117 0.0019 0.0000 4.4142 0.7244
7.4 1.000 -2.32 0.3015 1.8572 0.0586 0.0469 0.0143 0.0366 0.0102 0.1165 0.0059 0.0151 0.0113 0.8286 0.8013
7.4 0.740 -2.25 0.1041 2.1926 0.0157 0.0478 0.0115 0.0293 0.0081 0.1574 0.0078 0.0139 0.0023 1.1155 0.9829
7.4 0.467 -2.14 0.0346 2.0229 0.0060 0.0392 0.0072 0.0185 0.0051 0.2475 0.0109 0.0098 0.0000 1.6990 1.1152
7.4 0.189 -1.92 0.0042 0.7900 0.0000 0.0236 0.0011 0.0027 0.0000 0.3768 0.0130 0.0041 0.0000 3.0932 0.9557
7.4 0.096 -1.75 0.0000 0.4330 0.0000 0.0161 0.0000 0.0013 0.0000 0.3864 0.0121 0.0022 0.0000 3.9235 0.7358
7.4 0.047 -1.59 0.0000 0.2737 0.0000 0.0111 0.0000 0.0000 0.0000 0.3939 0.0105 0.0012 0.0000 4.3557 0.5398
7.4 0.020 -1.41 0.0000 0.1823 0.0000 0.0077 0.0000 0.0000 0.0000 0.4040 0.0086 0.0000 0.0000 4.3781 0.3705
7.4 0.013 -1.27 0.0000 0.1389 0.0000 0.0059 0.0000 0.0000 0.0000 0.4192 0.0072 0.0000 0.0000 4.2346 0.2743
7.4 1.000 -2.13 0.2595 1.8508 0.0512 0.0435 0.0133 0.0341 0.0095 0.1297 0.0065 0.0140 0.0098 0.9639 0.8073
7.4 0.681 -2.04 0.0598 2.1202 0.0093 0.0408 0.0097 0.0247 0.0068 0.1902 0.0092 0.0115 0.0011 1.4059 1.0069
7.4 0.426 -1.93 0.0187 1.6766 0.0035 0.0310 0.0046 0.0116 0.0032 0.2995 0.0121 0.0070 0.0000 2.1212 1.0656
7.4 0.167 -1.70 0.0000 0.4912 0.0000 0.0164 0.0000 0.0015 0.0000 0.3834 0.0120 0.0024 0.0000 3.5374 0.7371
7.4 0.090 -1.55 0.0000 0.2854 0.0000 0.0109 0.0000 0.0000 0.0000 0.3906 0.0103 0.0012 0.0000 4.0451 0.5263
7.4 0.046 -1.39 0.0000 0.1788 0.0000 0.0072 0.0000 0.0000 0.0000 0.4001 0.0082 0.0000 0.0000 4.1157 0.3492
7.4 0.019 -1.18 0.0000 0.1059 0.0000 0.0043 0.0000 0.0000 0.0000 0.4180 0.0058 0.0000 0.0000 3.7491 0.1943
7.4 0.013 -1.03 0.0000 0.0740 0.0000 0.0029 0.0000 0.0000 0.0000 0.4407 0.0044 0.0000 0.0000 3.4169 0.1237
