#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.4 30000 -3.25 1.3132 0.0108 0.2437 0.0223 0.0141 0.0362 0.0102 0.0000 0.0000 0.0082 0.0541 0.0000 0.0289
7.4 30000 -3.00 1.5242 0.0307 0.2093 0.0320 0.0147 0.0377 0.0106 0.0000 0.0000 0.0099 0.0561 0.0000 0.0562
7.4 30000 -2.75 1.7267 0.0799 0.1687 0.0428 0.0154 0.0394 0.0111 0.0000 0.0000 0.0119 0.0552 0.0000 0.1022
7.4 30000 -2.50 1.8730 0.1859 0.1281 0.0536 0.0163 0.0418 0.0117 0.0000 0.0000 0.0142 0.0508 0.0000 0.1710
7.4 30000 -2.25 1.9002 0.3796 0.0926 0.0631 0.0176 0.0451 0.0126 0.0000 0.0000 0.0170 0.0432 0.0000 0.2612
7.4 30000 -2.00 1.7715 0.6711 0.0645 0.0709 0.0191 0.0489 0.0137 0.0000 0.0000 0.0198 0.0337 0.0013 0.3649
7.4 30000 -1.75 1.5176 1.0310 0.0441 0.0767 0.0204 0.0524 0.0146 0.0000 0.0000 0.0225 0.0241 0.0037 0.4713
7.4 30000 -1.50 1.2153 1.4030 0.0301 0.0809 0.0211 0.0542 0.0151 0.0000 0.0000 0.0242 0.0163 0.0096 0.5723
7.4 32500 -4.00 0.8343 0.0000 0.2882 0.0072 0.0132 0.0339 0.0096 0.0000 0.0000 0.0053 0.0435 0.0000 0.0048
7.4 32500 -3.75 0.9968 0.0025 0.2762 0.0117 0.0149 0.0381 0.0108 0.0000 0.0000 0.0068 0.0477 0.0000 0.0105
7.4 32500 -3.50 1.1842 0.0079 0.2555 0.0184 0.0162 0.0414 0.0117 0.0000 0.0000 0.0087 0.0518 0.0000 0.0224
7.4 32500 -3.25 1.3884 0.0240 0.2244 0.0273 0.0172 0.0440 0.0124 0.0000 0.0000 0.0107 0.0546 0.0000 0.0453
7.4 32500 -3.00 1.5923 0.0680 0.1851 0.0379 0.0180 0.0461 0.0130 0.0000 0.0000 0.0129 0.0545 0.0000 0.0860
7.4 32500 -2.75 1.7523 0.1715 0.1440 0.0490 0.0187 0.0479 0.0135 0.0000 0.0000 0.0154 0.0504 0.0000 0.1505
7.4 32500 -2.50 1.8047 0.3727 0.1062 0.0595 0.0195 0.0500 0.0140 0.0000 0.0000 0.0181 0.0428 0.0000 0.2413
7.4 32500 -2.25 1.7021 0.6883 0.0750 0.0688 0.0204 0.0522 0.0146 0.0000 0.0000 0.0208 0.0334 0.0000 0.3537
7.4 32500 -2.00 1.4654 1.0839 0.0517 0.0762 0.0210 0.0539 0.0151 0.0000 0.0000 0.0231 0.0243 0.0028 0.4761
7.4 32500 -1.75 1.1711 1.4954 0.0357 0.0816 0.0213 0.0547 0.0152 0.0000 0.0000 0.0247 0.0169 0.0071 0.5979
