12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.1000 5.7300 -3.2500 0.5691 0.0373 0.0059 0.3513 0.0000 0.0050 0.0202 0.1311 0.0156 0.0389
7.1000 5.5300 -3.2500 0.5703 0.0374 0.0059 0.3521 0.0000 0.0032 0.0202 0.0827 0.0156 0.0245
7.1000 5.3300 -3.2500 0.5710 0.0375 0.0059 0.3527 0.0000 0.0020 0.0202 0.0523 0.0158 0.0155
7.1000 5.1300 -3.2500 0.5715 0.0375 0.0059 0.3530 0.0000 0.0013 0.0202 0.0330 0.0158 0.0098
7.1000 4.9300 -3.2500 0.5718 0.0376 0.0059 0.3532 0.0000 0.0000 0.0202 0.0208 0.0158 0.0062
7.1000 6.1300 -3.0000 0.4383 0.0478 0.0113 0.5990 0.0000 0.0165 0.0145 0.2446 0.0127 0.1163
7.1000 5.9300 -3.0000 0.4404 0.0481 0.0114 0.6028 0.0000 0.0105 0.0145 0.1545 0.0128 0.0736
7.1000 5.7300 -3.0000 0.4418 0.0483 0.0115 0.6052 0.0000 0.0067 0.0145 0.0976 0.0128 0.0465
7.1000 5.5300 -3.0000 0.4426 0.0484 0.0116 0.6067 0.0000 0.0042 0.0145 0.0616 0.0129 0.0294
7.1000 5.3300 -3.0000 0.4431 0.0485 0.0116 0.6077 0.0000 0.0027 0.0145 0.0389 0.0129 0.0186
7.1000 5.1300 -3.0000 0.4435 0.0486 0.0116 0.6083 0.0000 0.0017 0.0145 0.0245 0.0129 0.0117
7.1000 4.9300 -3.0000 0.4437 0.0486 0.0116 0.6086 0.0000 0.0011 0.0145 0.0155 0.0129 0.0074
7.1000 6.1300 -2.7500 0.3119 0.0598 0.0185 0.8645 0.0000 0.0205 0.0099 0.1777 0.0095 0.1310
7.1000 5.9300 -2.7500 0.3133 0.0602 0.0187 0.8699 0.0000 0.0130 0.0099 0.1123 0.0095 0.0829
7.1000 5.7300 -2.7500 0.3141 0.0605 0.0189 0.8733 0.0000 0.0083 0.0099 0.0709 0.0095 0.0524
7.1000 5.5300 -2.7500 0.3146 0.0606 0.0190 0.8755 0.0000 0.0052 0.0099 0.0448 0.0095 0.0331
7.1000 5.3300 -2.7500 0.3150 0.0607 0.0190 0.8768 0.0000 0.0033 0.0099 0.0282 0.0095 0.0209
7.1000 5.1300 -2.7500 0.3152 0.0608 0.0191 0.8777 0.0000 0.0021 0.0099 0.0178 0.0095 0.0132
7.1000 4.9300 -2.7500 0.3153 0.0608 0.0191 0.8782 0.0000 0.0013 0.0099 0.0112 0.0095 0.0083
7.1000 6.1300 -2.5000 0.2151 0.0731 0.0272 1.1230 0.0000 0.0237 0.0067 0.1280 0.0059 0.1383
7.1000 5.9300 -2.5000 0.2159 0.0736 0.0276 1.1301 0.0000 0.0151 0.0067 0.0809 0.0059 0.0875
7.1000 5.7300 -2.5000 0.2164 0.0739 0.0278 1.1345 0.0000 0.0096 0.0067 0.0511 0.0059 0.0553
7.1000 5.5300 -2.5000 0.2168 0.0741 0.0279 1.1372 0.0000 0.0061 0.0067 0.0322 0.0059 0.0350
7.1000 5.3300 -2.5000 0.2169 0.0743 0.0280 1.1390 0.0000 0.0038 0.0067 0.0203 0.0059 0.0221
7.1000 5.1300 -2.5000 0.2171 0.0743 0.0281 1.1401 0.0000 0.0024 0.0067 0.0128 0.0059 0.0139
7.1000 4.9300 -2.5000 0.2171 0.0744 0.0281 1.1407 0.0000 0.0015 0.0067 0.0081 0.0059 0.0088
